Document,Tag,Content
Luxembourg,objectivity,"The Press is committed to maintaining objectivity in presentation and communication information with respect to commercial businesses, products or services."
Luxembourg,data,"Press is committed to respecting the right of access to personal information each individual, this especially in the case of personal data as defined in the law on data protection. The right of access to personal information shall not, however, never undermine the protection of journalistic sources."
Luxembourg,privacy,"Press is committed to respecting the right of access to personal information each individual, this especially in the case of personal data as defined in the law on data protection. The right of access to personal information shall not, however, never undermine the protection of journalistic sources."
Luxembourg,accuracy,From the accuracy and truthfulness
Luxembourg,truth/facts,From the accuracy and truthfulness
Luxembourg,truth/facts,Section 11 of the Act provides that any misrepresentation of fact contained in a publication must be corrected spontaneously when the inaccuracy on the presentation is concerned is established or when the employee concerned or the publisher had knowledge.
Luxembourg,distortion/manipulation,Section 11 of the Act provides that any misrepresentation of fact contained in a publication must be corrected spontaneously when the inaccuracy on the presentation is concerned is established or when the employee concerned or the publisher had knowledge.
Macedonia,truth/facts,Main duty of the journalist is to respect the truth and right of the public to be informed
Macedonia,distortion/manipulation,"The journalists shall publish correct, verified information and will not conceal essential information or forge documents"
Macedonia,truth/facts,"The journalists shall publish correct, verified information and will not conceal essential information or forge documents"
Macedonia,source/disclosure,"The journalist shall point out the source of information, but if the source demands to remain anonymous the journalist shall protect him"
Macedonia,privacy,"The journalist shall respect the privacy of every person, except in cases when that is on the contrary with the public interest."
Macedonia,discrimination/stereotypes,"shall not use hate speech and shall not encourage discrimination of any sort (nationality, religion, sex, social class, language, sexual orientation, political orientationÂ…)"
Netherlands,fairness,"Journalists report truthfully, verifiably and as completely as possible. They avoid one-sided and biased reporting."
Netherlands,verification,"Journalists report truthfully, verifiably and as completely as possible. They avoid one-sided and biased reporting."
Netherlands,truth/facts,"Journalists report truthfully, verifiably and as completely as possible. They avoid one-sided and biased reporting."
Netherlands,accuracy,"Journalists report truthfully, verifiably and as completely as possible. They avoid one-sided and biased reporting."
Netherlands,transparency,"In principle, sources are referred to in the publications."
Netherlands,access/use,"Journalists do not steal information, nor will they pay for stolen information."
Netherlands,fairness,"Journalists must hear those who are disqualified as a result of a publication, even if their role is marginal. Those who are accused must be given ample opportunity to respond to the accusations, preferably in the same publication. Note that hearing both sides does not relieve journalists from their duty to report as truthfully as possible. The principle of hearing both sides does not apply to publications which seem to contain a personal opinion (e.g. columns, reviews and opinion contributions) and reports of a factual nature, such as reports of public meetings."
Netherlands,graphics/visualisation,Image manipulations may not be misleading.
Netherlands,distortion/manipulation,Image manipulations may not be misleading.
Netherlands,privacy,A publication must not infringe the privacy of persons any more than is reasonably required within the framework of the report.
Norway,responsibility,"The responsible editor carries personal and full responsibility for the contents of the media and has the final decision in any questions regarding editorial content, financing, presentation and publication."
Norway,source/disclosure,"The source of information must, as a rule, be identified, unless this conflicts with source protection or consideration for a third party."
Norway,source/reliability,"Be critical in the choice of sources, and make sure that the information provided is correct."
Norway,fairness,Make a point of fairness and thoughtfulness in contents and presentation.
Norway,privacy,"Always respect a person character and identity, privacy,"
Norway,distortion/manipulation,Manipulated photos can only be accepted as illustrations if it is evident that it in actual fact is a picture collage.
Poland,truth/facts,a journalist is to provide reliable and impartial information
Poland,fairness,a journalist is to provide reliable and impartial information
Poland,accuracy,Information should be balanced and accurate
Poland,fairness,Information should be balanced and accurate
Poland,truth/facts,"Opinions may be biased, but they must not distort the facts and be the result of external pressures."
Poland,distortion/manipulation,"Opinions may be biased, but they must not distort the facts and be the result of external pressures."
Poland,access/use,"When collecting materials, illegal and ethically reprehensible methods must not be used"
Poland,privacy,The private and intimate sphere must not be violated
Poland,responsibility,"The author of the press, radio, television or Internet publication as well as their editor, publisher or broadcaster are all liable for violations of the principles of journalistic ethics."
Portugal,truth/facts,A journalist has a duty to report the facts with accuracy and to interpret them honestly
Portugal,accuracy,A journalist has a duty to report the facts with accuracy and to interpret them honestly
Portugal,fairness,A journalist has a duty to report the facts with accuracy and to interpret them honestly
Portugal,verification,The facts should be checked by hearing the parties with notable interests in the case.
Portugal,access/use,"A journalist has to fight against restrictions in the access to information sources, and against attempts to limit the freedom of expression and the right to inform. It is the obligation of a journalist to publicise any violations of those rights."
Portugal,access/use,"A journalist has to use legal means in obtaining information, pictures or documents, and must avoid abusing anyone's trust."
Portugal,privacy,A journalist has to respect the private life of citizens except when the public interest demands revelation or when the behaviour of the person in question is contradictory to the values and principles that they publicly defend.
Portugal,discrimination/stereotypes,"Before collecting statements and images, the journalist should ensure that the conditions of serenity, freedom, dignity, and responsibility of the people involved are met."
Romania,truth/facts,"The journalist has the responsibility to look for, respect, and communicate the facts  as they become known through reasonable research  based on the public's right to be informed."
Romania,privacy,The journalist has the responsibility to respect the private life of the individual
Romania,verification,The journalist shall reasonably verify the information before publishing it
Romania,access/use,The journalist shall obtain information in an open and transparent manner. The use of special investigative techniques is justified when obtaining that information would serve the public interest and when information cannot be obtained by any other means.
Romania,access/use,freedom of speech and free access to information as well as all sources of information.
Serbia,truth/facts,"The media are obliged to place the public's interest in complete, timely and truthful information above all other interests"
Serbia,accuracy,"Journalists are obliged to report accurately, impartially, completely and in a timely manner on events of public interest, adhering to the journalistic standards prescribed by the Serbian Journalists' Code."
Serbia,truth/facts,"Journalists must carefully verify all facts, consult relevant sources, and report impartially on all important events, especially political, social, cultural, and other topics about which there are opposing views in the public."
Serbia,accuracy,Journalists are obliged to present accurate and verified information and to communicate it in the appropriate context.
Serbia,accuracy,"Journalists must not delay publishing important information, except for the necessary verification of accuracy."
Serbia,source/reliability,"Media outlets that broadcast agency news are responsible for what they publish. If the agency is cited as the source of information, shortening or supplementing that information must not change the basic meaning and context."
Serbia,surveys/polls,"When publishing the results of a public opinion poll, the following must be stated: the name of the agency that conducted the poll, the person who commissioned the poll, the sample and the period in which the poll was conducted."
Serbia,distortion/manipulation,"Editorial processing of the press release must not alter the facts, the context in which they are used, or their meaning. The same standard applies to content taken from other media or websites, as well as to content generated by users."
Serbia,ugc,"Editorial processing of the press release must not alter the facts, the context in which they are used, or their meaning. The same standard applies to content taken from other media or websites, as well as to content generated by users."
Serbia,distortion/manipulation,Omitting facts that could significantly influence the public's view of an event is tantamount to deliberately distorting them or stating untruths.
Serbia,truth/facts,Omitting facts that could significantly influence the public's view of an event is tantamount to deliberately distorting them or stating untruths.
Serbia,discrimination/stereotypes,The media should refrain from using ?bait? headlines and titles that generally correspond to the content of the text but are overly emphatic or sensationalist.
Serbia,truth/facts,"Editorial interventions must not change the facts, context, and views of the journalists who sign the text/article."
Serbia,transparency,"If reporting on individuals and companies that have ownership stakes in the media, journalists and editors are obliged to state that fact."
Serbia,transparency,"If media publishers have an ownership stake in the organization or company being reported on, journalists and editors are required to state that fact."
Serbia,responsibility,"Journalists are, first and foremost, responsible to the public. They must not subordinate this responsibility to the interests of others, especially not to the interests of publishers, corporations, governments, and other state bodies."
Serbia,responsibility,Editors are responsible for the entire content of the media
Serbia,privacy,"Journalists and editors are obliged to respect the right to the presumption of innocence and to protect the privacy and identity of suspects or perpetrators, even in the event of an admission of guilt, except in cases where the public interest prevails."
Serbia,accuracy,"The media are obliged to publish accurate and complete information without delay, even if they inadvertently published information that later turned out to be an unfounded accusation, rumor, insult or defamation."
Serbia,truth/facts,"If material facts are changed in the published text, this must be clearly indicated."
Serbia,transparency,"Media must use artificial intelligence in content creation in a transparent, responsible and proportionate manner and are fully responsible for the content published in this way."
Serbia,responsibility,"Media must use artificial intelligence in content creation in a transparent, responsible and proportionate manner and are fully responsible for the content published in this way."
Serbia,source/disclosure,Media are obliged to inform the public that media content was created using tools based on artificial intelligence.
Serbia,distortion/manipulation,The use of artificial intelligence that significantly influences the processing of journalistic content must be clearly marked and must not mislead the public.
Serbia,distortion/manipulation,"In reporting on current events, content must be marked in a way that clearly distinguishes synthetic (generated or significantly processed by artificial intelligence tools) content from authentic content created through direct journalistic coverage of the event."
Serbia,data,"Journalists and editors may not sell data, documents, audio/video recordings and other working materials that they have received for the purpose of media reporting."
Serbia,discrimination/stereotypes,"Journalists must not discriminate on the basis of, among other things, race, sex, gender, age, personal characteristics, sexual orientation, language, religion, political or other opinion, national or social origin."
Serbia,privacy,Journalists respect the privacy of the people they write about
Serbia,privacy,"Private data and records, including private photos, videos and other records posted on a social network or other platform, may only be published with the prior consent of that person or their representatives, except in cases where the public interest outweighs the right to privacy or when that person intended them for the public."
Serbia,privacy,"If private data or records of one person mention or contain private data or records of other persons (for example, tags on social networks), the media are obliged to hide their identity, unless there is a public interest in doing so, which outweighs the right to privacy."
Serbia,data,"Data from the private life of public figures shall only be published if it is in the public interest, if it has direct consequences for several people, if it is contrary to the spirit of the function that the person performs or the ideas that he or she publicly represents."
Serbia,data,"Media editors may remove the name and personal data from online media at the request of the person whose rights have been violated, provided that the publication of such data is not in the public interest or does not outweigh the protection of privacy."
Serbia,privacy,"Media editors may remove the name and personal data from online media at the request of the person whose rights have been violated, provided that the publication of such data is not in the public interest or does not outweigh the protection of privacy."
Serbia,data,"If the data is no longer current and is not of scientific and/or historical significance, editors may remove it while retaining the media content."
Serbia,data,"Journalists must use only honorable means when collecting data, photographs, documents, audio and video recordings and publishing them."
Serbia,fairness,"Journalists must use only honorable means when collecting data, photographs, documents, audio and video recordings and publishing them."
Serbia,source/disclosure,"Journalists are obliged to respect sources' requests for anonymity. Anonymity should only be granted to sources who can provide important data or first-hand information, or documents of public interest."
Serbia,source/disclosure,Inventing unnamed sources is a serious violation of the Serbian Journalist Code.
Serbia,distortion/manipulation,Inventing unnamed sources is a serious violation of the Serbian Journalist Code.
Serbia,distortion/manipulation,Falsification and plagiarism are unacceptable and are considered a serious violation of the Serbian Journalist Code.
Serbia,distortion/manipulation,The difference between documentary photography and photomontage must be clearly emphasized. The public must not be misled.
Serbia,graphics/visualisation,"Journalists will not sign texts, drawings, illustrations, caricatures, photographs, video and audio recordings of other authors as their own."
Slovakia,accuracy,"The main principles governing the journalist in his or her work are impartiality, balance, objectivity, honesty, truthfulness, accountability and consistent verification of facts."
Slovakia,truth/facts,"The main principles governing the journalist in his or her work are impartiality, balance, objectivity, honesty, truthfulness, accountability and consistent verification of facts."
Slovakia,objectivity,"The main principles governing the journalist in his or her work are impartiality, balance, objectivity, honesty, truthfulness, accountability and consistent verification of facts."
Slovakia,fairness,"The main principles governing the journalist in his or her work are impartiality, balance, objectivity, honesty, truthfulness, accountability and consistent verification of facts."
Slovakia,verification,The journalist is obliged to verify every piece of information that he or she publishes. The information must be verified at least in two independent sources
Slovakia,source/disclosure,"If the information is not generally known or is not widely known in the sector the journalist is writing about, the journalist is always required to provide a source of his or her information."
Slovakia,truth/facts,The journalist or media do not publish any information they know to be untrue.
Slovakia,objectivity,True information is based on facts and its objective interpretation taking into account the real context of the story without distorting objective reality and negating part of existing facts and contexts.
Slovakia,truth/facts,True information is based on facts and its objective interpretation taking into account the real context of the story without distorting objective reality and negating part of existing facts and contexts.
Slovakia,analysis/statistics,True information is based on facts and its objective interpretation taking into account the real context of the story without distorting objective reality and negating part of existing facts and contexts.
Slovakia,truth/facts,"Agencies are responsible for the truthfulness and accuracy of their text, audio, image and audiovisual information"
Slovakia,accuracy,"Agencies are responsible for the truthfulness and accuracy of their text, audio, image and audiovisual information"
Slovakia,data,"journalists are under no obligation to verify it. In case of doubt about the accuracy of data from the agency service, the journalist is obliged to verify the information in another independent source."
Slovakia,verification,"journalists are under no obligation to verify it. In case of doubt about the accuracy of data from the agency service, the journalist is obliged to verify the information in another independent source."
Slovakia,distortion/manipulation,"The journalist never distort the content of text, image, audio or audiovisual recordings or photographs."
Slovakia,objectivity,The journalist must not accept gifts or other benefits that can jeopardize his or her impartiality and objectivity that may be perceived as an attempt to influence his or her work.
Slovakia,privacy,"The journalist must not publish the information or records about the privacy of an individual without the consent of the individual concerned, except in the case of a matter of public interest."
Slovakia,distortion/manipulation,"The censorship means a restriction, deliberate misrepresentation or non-disclosure of information, audio, audiovisual or image recordings if it occurred for political, economic or personal reasons"
Slovakia,accuracy,"Editing means a text, audio, audiovisual and image modification in terms of semantic structure, dramaturgical construction, real and factual accuracy, grammatical accuracy and clarity."
Slovenia,verification,A journalist has to verify the accuracy of the collected information and avoid errors.
Slovenia,accuracy,A journalist has to verify the accuracy of the collected information and avoid errors.
Slovenia,truth/facts,A journalist must avoid the improper or personally offensive presentation of information and facts.
Slovenia,verification,"It shall be noted when a journalist publishes unverified information,"
Slovenia,source/disclosure,"Whenever possible, a journalist must state the source of the information."
Slovenia,access/use,A journalist must not use illicit means of collecting information.
Slovenia,access/use,A journalist must always be introduced as a journalist and explain the purpose of the journalist's collecting data.
Slovenia,data,A journalist must always be introduced as a journalist and explain the purpose of the journalist's collecting data.
Slovenia,transparency,The editor-in-chief is responsible for the transparent supplementation and correction of the contents
Slovenia,privacy,A journalist shall respect the right of an individual to privacy
Slovenia,discrimination/stereotypes,"A journalist shall avoid ethnic, racial, gender, age, religious, geographical, and other stereotypes,"
Spain,truth/facts,The journalist's first ethical commitment is respect for the truth.
Spain,privacy,the journalist shall respect the right of persons to their own privacy
Spain,distortion/manipulation,"Professional secrecy is a journalist's right, as well as a duty that guarantees the confidentiality of information sources. Consequently, journalists shall guarantee the right of their information sources to remain anonymous, if so requested. However, such a professional duty may be surrendered as an exception in the event that it is reliably stated that the source has knowingly misrepresented information or when disclosure of the source is the only means to avoid serious and immediate harm to persons."
Spain,access/use,"It is the responsibility of journalists to monitor scrupulously fulfilment by the Public Authorities of their obligation of transparency of information. In particular, they shall always defend free access to information from, or generated by, these Authorities, in their Archives or Administrative Records."
Spain,access/use,Journalists shall respect and enforce the copyright and intellectual property rights deriving from all kinds of creative activity.
Spain,truth/facts,The commitment to the search for truth shall always lead journalists to report only on facts of whose origin they are certain
Spain,source/reliability,The commitment to the search for truth shall always lead journalists to report only on facts of whose origin they are certain
Spain,distortion/manipulation,"not to publish false, misleading or distorted coverage"
Spain,fairness,"They must substantiate the information they circulate, including the duty to compare sources and to give the person concerned the opportunity to offer his or her own version of the facts."
Spain - Andalusia,data,"News is information about facts and data,"
Spain - Andalusia,truth/facts,"News is information about facts and data,"
Spain - Andalusia,truth/facts,"News broadcasting should be based on truthfulness, ensured by the appropriate means of verification and proof, and impartiality in presentation, description and narration."
Spain - Andalusia,fairness,"News broadcasting should be based on truthfulness, ensured by the appropriate means of verification and proof, and impartiality in presentation, description and narration."
Spain - Andalusia,truth/facts,News headlines and summaries must reflect as closely as possible the substance of the facts and data presented.
Spain - Andalusia,data,News headlines and summaries must reflect as closely as possible the substance of the facts and data presented.
Spain - Andalusia,transparency,"News organisations must show transparency in matters of media ownership and management,"
Spain - Andalusia,distortion/manipulation,"Therefore journalism should not alter truthful, impartial information or honest opinions, or exploit them for media purposes,"
Spain - Andalusia,accuracy,"Therefore journalism should not alter truthful, impartial information or honest opinions, or exploit them for media purposes,"
Spain - Andalusia,privacy,The right of individuals to privacy must be respected.
Spain - Andalusia,access/use,In the journalist's profession the end does not justify the means; therefore information must be obtained by legal and ethical means
Spain - Catalunia,accuracy,Report with accuracy and precision
Spain - Catalunia,truth/facts,"The professional journalists are committed to the pursuit of the truth and, consequently, they have the obligation to report the reality of the events with the highest fidelity possible."
Spain - Catalunia,accuracy,The journalists should not use abusive expressions nor disclose facts that are imprecise or without sufficient basis and that may injure the dignity of people and cause harm or discredit to public or private entities.
Spain - Catalunia,access/use,Use legitimate and worthy methods to obtain information
Spain - Catalunia,source/disclosure,Cite the sources and preserve the professional secrecy
Spain - Catalunia,source/disclosure,"To assure the credibility of the information, the sources must be quoted"
Spain - Catalunia,access/use,"The journalist must defend the right to information in front of any restriction to the transparency required by the public interest, especially when the sources are government institutions and agencies."
Spain - Catalunia,privacy,Respect the right to privacy
Spain - Catalunia,distortion/manipulation,"In the field of photo-illustration the alteration of images is legitimate, without any other limit than the responsibility of the author, and with the obligation to inform, aptly, the reader of the type of alteration practiced."
Spain - Catalunia,source/disclosure,"The information must be credited and the links should contain the correct references, with the purpose of guiding the recipients and keeping the data contextualized"
Spain - Catalunia,data,data
Spain - Catalunia,source/reliability,the immediacy is no excuse to omit deontological principles as resorting to reliable sources and verifying the information.
Spain - Catalunia,verification,"The criterion 1 of the Code urges to check all the information, while the criterion 5 recommends, as a general rule, to quote the sources."
Spain - Catalunia,source/disclosure,"The criterion 1 of the Code urges to check all the information, while the criterion 5 recommends, as a general rule, to quote the sources."
Sweden,accuracy,Provide accurate news
Sweden,objectivity,The role played by the mass media in society and the trust of the public of these media call for accurate and objective news reporting
Sweden,accuracy,The role played by the mass media in society and the trust of the public of these media call for accurate and objective news reporting
Sweden,verification,Check facts as carefully as possible in the light of the circumstances even if they have been published earlier.
Sweden,graphics/visualisation,Check the authenticity of pictures. See to it that pictures and graphical illustrations are correct and are not used in a misleading way.
Sweden,verification,Check the authenticity of pictures. See to it that pictures and graphical illustrations are correct and are not used in a misleading way.
Sweden,privacy,Consider carefully any publicity which could violate the privacy and integrity of individuals.
Switzerland,fairness,"The journalist who gathers, selects, edits, interprets and comments on information is ruled by general principles of fairness in his or her honest treatment of sources"
Switzerland,truth/facts,To seek out the truth
Switzerland,source/reliability,"Not to publish information, documents, images or sound recordings of which the origin is unknown to the journalist"
Switzerland,truth/facts,To rectify any published information that is revealed to be factually incorrect.
Switzerland,privacy,To respect peoples’ privacy
Switzerland,access/use,Free access to all sources of information and the right to investigate without impediment anything that is in the public interest.
Switzerland,transparency,The right to transparency as to the ownership of the company for which the journalist works.
Switzerland,data,"The search for truth is at the heart of the act of informing. It presumes taking account of available and accessible data, respect for the integrity of documents"
Switzerland,access/use,"The search for truth is at the heart of the act of informing. It presumes taking account of available and accessible data, respect for the integrity of documents"
Switzerland,truth/facts,"The search for truth is at the heart of the act of informing. It presumes taking account of available and accessible data, respect for the integrity of documents"
Switzerland,truth/facts,"respect for the integrity of documents (text, recording, image), verification and rectification."
Switzerland,surveys/polls,"When publishing the results of a survey, the media must give the public every indication useful to understanding the results. Minimal information includes: the number of people polled, how representative they were, where and when the research was carried out and who commissioned it. The report must also reproduce the questions as posed in the original survey. Restricting the date up to which a survey can be published before elections or a vote on issues brought before the public is not compatible with freedom of information."
Switzerland,accuracy,"orrect errors of fact should be exercised by journalists of their own accord since it is crucial to a truthful record. The obligation to correct applies to misstatements of fact, not to opinion founded on facts known to be accurate."
Switzerland,truth/facts,"orrect errors of fact should be exercised by journalists of their own accord since it is crucial to a truthful record. The obligation to correct applies to misstatements of fact, not to opinion founded on facts known to be accurate."
Switzerland,privacy,Everybody – this applies also to celebrities – has the right to respect for his or her privacy.
Switzerland,access/use,The media may publish information that has been obtained through leaks under the following conditions: the source of the information is known to the media; the information is in the public interest; publication does not offend extremely important interests such as rights and secrets worthy of protection; there is no major reason why publication should be delayed; the information has been intentionally and willingly provided.
United Kingdom - Impress,ugc,Journalists and publishers should be aware of the legal risks they may face when publishing. This includes sourcing and publishing content from online or social media sources and UGC.
United Kingdom - Impress,source/reliability,verify the accuracy and reliability of a source
United Kingdom - Impress,accuracy,verify the accuracy and reliability of a source
United Kingdom - Impress,access/use,"Publishers should be familiar with issues around copyright and data protection,"
United Kingdom - Impress,data,"Publishers should be familiar with issues around copyright and data protection,"
United Kingdom - Impress,accuracy,Publishers must take reasonable steps to ensure accuracy.
United Kingdom - Impress,distortion/manipulation,"Whilst free to be partisan, publishers must not misrepresent or distort the facts."
United Kingdom - Impress,truth/facts,The Code does not create an absolute duty to publish only indisputably true facts
United Kingdom - Impress,verification,publishers must take reasonable steps to verify the truth of the information.
United Kingdom - Impress,analysis/statistics,"For example, a journalist would not be expected to check every statistic in an Office of National Statistics (ONS) report. However, by contrast, the information provided by a single anonymous source would need careful checking."
United Kingdom - Impress,verification,"For example, a journalist would not be expected to check every statistic in an Office of National Statistics (ONS) report. However, by contrast, the information provided by a single anonymous source would need careful checking."
United Kingdom - Impress,source/reliability,the likely reliability of the source(s) being used;
United Kingdom - Impress,distortion/manipulation,"The internet, especially social media, plays an influential role in public discussion. Its very nature makes it an excellent source of information for journalists. However, it can generate a large amount of inaccurate, unreliable, harmful and unlawful content."
United Kingdom - Impress,source/reliability,"The internet, especially social media, plays an influential role in public discussion. Its very nature makes it an excellent source of information for journalists. However, it can generate a large amount of inaccurate, unreliable, harmful and unlawful content."
United Kingdom - Impress,verification,"The Code requires publishers to take reasonable steps to verify the accuracy of the information obtained from third-party sources; for example, blogs, social media posts, and YouTube videos."
United Kingdom - Impress,source/reliability,"take steps to limit the potential spread of false information, deliberately or accidentally, by verifying the story with other sources and checking the information against other reliable sources"
United Kingdom - Impress,distortion/manipulation,"take steps to limit the potential spread of false information, deliberately or accidentally, by verifying the story with other sources and checking the information against other reliable sources"
United Kingdom - Impress,truth/facts,A story may also be misleading through the omission of crucial facts.
United Kingdom - Impress,distortion/manipulation,A story may also be misleading through the omission of crucial facts.
United Kingdom - Impress,graphics/visualisation,"This clause also applies to headlines and images, which must accurately represent the stories"
United Kingdom - Impress,accuracy,"This clause also applies to headlines and images, which must accurately represent the stories"
United Kingdom - Impress,source/disclosure,Publishers must take all reasonable steps to identify and credit the originator of any third-party content.
United Kingdom - Impress,accuracy,Attributing content to the person or organisation who created it is essential for ensuring accuracy.
United Kingdom - Impress,source/disclosure,Attributing content to the person or organisation who created it is essential for ensuring accuracy.
United Kingdom - Impress,privacy,They are only permissible when conventional methods are not practicable and after carefully considering the public interest and the individual’s right to privacy (see Clause 7: Privacy)
United Kingdom - Impress,accuracy,Publishers have the right to publish fair and accurate reports of current criminal proceedings
United Kingdom - Impress,fairness,Publishers have the right to publish fair and accurate reports of current criminal proceedings
United Kingdom - Impress,privacy,"Except where justified by the public interest, publishers must respect people’s reasonable expectation of privacy."
United Kingdom - Impress,privacy,Only information given voluntarily about a person’s private life is relevant to the issue of privacy.
United Kingdom - Impress,transparency,"Transparency 10.1 Publishers must clearly identify content that appears to be editorial but has been paid for, financially or through a reciprocal arrangement, by a third party. 10.2 Publishers must ensure that significant conflicts of interest are disclosed. 10.3 Publishers must ensure that information about financial products is objectively presented and that an interests or conflicts of interest are effectively disclosed. 10.4 Publishers must correct any failure to disclose significant conflicts of interest with due prominence at the earliest opportunity."
United Kingdom - Impress,transparency,Publishers must ensure human editorial oversight and clear labelling of AI-generated content.
United Kingdom - IPSO,accuracy,"The Press must take care not to publish inaccurate, misleading or distorted information or images, including headlines not supported by the text."
United Kingdom - IPSO,distortion/manipulation,"The Press must take care not to publish inaccurate, misleading or distorted information or images, including headlines not supported by the text."
United Kingdom - IPSO,accuracy,"A significant inaccuracy, misleading statement or distortion must be corrected, promptly and with due prominence, and - where appropriate"
United Kingdom - IPSO,distortion/manipulation,"A significant inaccuracy, misleading statement or distortion must be corrected, promptly and with due prominence, and - where appropriate"
United Kingdom - IPSO,accuracy,"A fair opportunity to reply to significant inaccuracies should be given, when reasonably called for."
United Kingdom - IPSO,fairness,"A fair opportunity to reply to significant inaccuracies should be given, when reasonably called for."
United Kingdom - IPSO,privacy,"Everyone is entitled to respect for private and family life, home, physical and mental health, and correspondence, including digital communications."
United Kingdom - IPSO,privacy,Editors will be expected to justify intrusions into any individual's private life without consent.
United Kingdom - IPSO,discrimination/stereotypes,"The press must avoid prejudicial or pejorative reference to an individual's, race, colour, religion, sex, gender identity, sexual orientation or to any physical or mental illness or disability."
